text,bbox,page_num,y0,y1,block_height,char_count,word_count,is_all_caps,is_top_of_page,is_centered,height_ratio,height_rank,whitespace_after,label,size_ratio,size_rank,is_bold,is_numbered_list
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
1. H1 Heading,"(72.0, 124.73999786376953, 191.03399658203125, 149.5260009765625)",0,124.73999786376953,149.5260009765625,24.78600311279297,13,3,0,1,0,1.1250000138667138,2.0,18.649002075195312,Title,1.1250000138667138,2.0,0,1
Some body text.,"(79.19999694824219, 168.1750030517578, 158.68597412109375, 183.28900146484375)",0,168.1750030517578,183.28900146484375,15.113998413085938,15,3,0,1,0,0.6860020289244282,4.0,17.731002807617188,Heading,0.6860020289244282,4.0,0,0
1.1. An H2 Heading,"(79.19999694824219, 201.02000427246094, 206.01199340820312, 220.29800415039062)",0,201.02000427246094,220.29800415039062,19.277999877929688,18,4,0,0,0,0.8749998953562448,3.0,571.7019958496094,Heading,0.8749998953562448,3.0,0,1
A Report Title,"(72.0, 46.31999969482422, 229.343994140625, 79.36799621582031)",0,46.31999969482422,79.36799621582031,33.047996520996094,14,3,0,1,0,1.4999996722020206,1.0,45.37200164794922,Body,1.4999996722020206,1.0,0,0
